Ano;Localidade;Count;Média;Max;Min;Std;
2014;PE;11693;42.93712477550692;88.8;0.0;14.979070111571275;
2015;PE;16315;43.78449892736743;92.4;0.0;14.090016458352846;
2010;AL;4240.000000;38.933113;86.600000;0.000000;14.868826;
2011;AL;5335.000000;38.772502;83.500000;0.000000;14.881409;
2012;AL;3842.000000;37.126523;86.300000;0.000000;13.791446;
2013;AL;2808;44.18422364672364;85.4;0.0;14.706692154408065;
2014;AL;5345;40.666866230121556;89.0;0.0;14.54463436628975;
2015;AL;4439;41.83505293985128;89.6;0.0;14.358633075438556;
2010;SE;3475.000000;36.111050;84.900000;0.000000;14.949932;
2011;SE;2312.000000;41.848140;84.000000;0.000000;14.976446;
2012;SE;3332.000000;38.837125;82.900000;0.000000;14.069694;
2013;SE;1860;43.829032258064515;85.9;0.0;14.466183457601216;
2014;SE;4827;40.11116635591451;87.3;0.0;14.033202946679317;
2015;SE;3696;44.02581168831168;89.2;0.0;14.196212092360954;
2010;BA;17877.000000;38.729188;90.600000;0.000000;15.230543;
2011;BA;12565.000000;41.123947;87.700000;0.000000;17.545907;
2012;BA;16520.000000;37.350182;85.100000;0.000000;13.935385;
2013;BA;8441;45.89233503139438;89.3;0.0;14.884567113649167;
2014;BA;22263;42.60178771953478;91.1;0.0;14.645394318331318;
2015;BA;15553;44.33258535330813;92.5;0.0;13.816426819573719;
2010;MG;41510.000000;41.419429;89.800000;0.000000;14.458313;
2011;MG;28287.000000;43.344982;89.800000;0.000000;15.391361;
2012;MG;44513.000000;39.705929;87.400000;0.000000;14.077707;
2013;MG;19159;46.89544339474941;89.7;0.0;14.274071984778603;
2014;MG;40860;46.75297846304446;97.4;0.0;14.238701257939237;
2015;MG;43149;46.77132262624836;95.5;0.0;14.0834842777479;
2010;ES;5258.000000;39.981875;89.000000;0.000000;15.095390;
2011;ES;4237.000000;43.982865;86.900000;0.000000;16.214806;
2012;ES;6683.000000;38.634640;85.000000;0.000000;15.598711;
2013;ES;2392;47.88637123745805;87.9;0.0;14.492858907293243;
2014;ES;6412;48.07428259513383;91.3;0.0;14.260508658205554;
2015;ES;6032;48.370474137931055;94.4;0.0;13.97622285929552;
2010;RJ;27853.000000;39.141550;89.400000;0.000000;15.687332;
2011;RJ;29230.000000;41.194129;90.800000;0.000000;17.017775;
2012;RJ;39192.000000;37.774161;85.900000;0.000000;14.471441;
2013;RJ;13149;43.68037873602574;92.4;0.0;14.9422721375206;
2014;RJ;28614;46.47266722583371;94.7;0.0;15.75435916499709;
